timepoint	regulating_reserve_requirement_mw
2020062200	17.98
2020062201	17.98
2020062202	17.98
2020062203	17.98
2020062204	17.98
2020062205	17.98
2020062206	58.1255210732
2020062207	92.2381997694
2020062208	129.788155444
2020062209	129.788155444
2020062210	129.788155444
2020062211	129.788155444
2020062212	129.788155444
2020062213	129.788155444
2020062214	129.788155444
2020062215	129.788155444
2020062216	129.788155444
2020062217	129.788155444
2020062218	115.500944636
2020062219	62.5297268088
2020062220	17.98
2020062221	17.98
2020062222	17.98
2020062223	62.5297268088
2020062300	17.98
2020062301	17.98
2020062302	17.98
2020062303	17.98
2020062304	17.98
2020062305	17.98
2020062306	51.7174307482
2020062307	98.4001210221
2020062308	129.788155444
2020062309	129.788155444
2020062310	129.788155444
2020062311	129.788155444
2020062312	129.788155444
2020062313	129.788155444
2020062314	129.788155444
2020062315	129.788155444
2020062316	129.788155444
2020062317	129.788155444
2020062318	124.689776938
2020062319	61.9905850664
2020062320	17.98
2020062321	17.98
2020062322	17.98
2020062323	48.6632509871
2020062400	17.98
2020062401	17.98
2020062402	17.98
2020062403	17.98
2020062404	17.98
2020062405	17.98
2020062406	53.5068438371
2020062407	111.620487719
2020062408	129.788155444
2020062409	129.788155444
2020062410	129.788155444
2020062411	129.788155444
2020062412	129.788155444
2020062413	129.788155444
2020062414	129.788155444
2020062415	129.788155444
2020062416	129.788155444
2020062417	129.788155444
2020062418	116.653716715
2020062419	57.5601247583
2020062420	17.98
2020062421	17.98
2020062422	17.98
2020062423	60.3537993351
2020062500	17.98
2020062501	17.98
2020062502	17.98
2020062503	17.98
2020062504	17.98
2020062505	17.98
2020062506	53.5068438371
2020062507	93.6650405945
2020062508	129.788155444
2020062509	129.788155444
2020062510	129.788155444
2020062511	129.788155444
2020062512	129.788155444
2020062513	129.788155444
2020062514	129.788155444
2020062515	129.788155444
2020062516	129.788155444
2020062517	129.788155444
2020062518	111.620487719
2020062519	48.0414477126
2020062520	17.98
2020062521	17.98
2020062522	17.98
2020062523	54.6821825055
2020062600	17.98
2020062601	17.98
2020062602	17.98
2020062603	16.1865382508
2020062604	14.7534469874
2020062605	13.911112108
2020062606	19.9108481091
2020062607	95.0583594653
2020062608	129.788155444
2020062609	129.788155444
2020062610	129.788155444
2020062611	129.788155444
2020062612	129.788155444
2020062613	129.788155444
2020062614	129.788155444
2020062615	129.788155444
2020062616	129.788155444
2020062617	129.788155444
2020062618	129.788155444
2020062619	29.0420602218
2020062620	17.98
2020062621	17.98
2020062622	17.98
2020062623	34.0923119599
2020062700	17.98
2020062701	17.98
2020062702	15.7629196329
2020062703	12.5461887039
2020062704	14.9272939406
2020062705	17.98
2020062706	27.7051713567
2020062707	61.9905850664
2020062708	129.788155444
2020062709	129.788155444
2020062710	129.788155444
2020062711	129.788155444
2020062712	129.788155444
2020062713	129.788155444
2020062714	129.788155444
2020062715	129.788155444
2020062716	129.788155444
2020062717	129.788155444
2020062718	96.0818243018
2020062719	13.4581340512
2020062720	6.43250049009
2020062721	6.90700205873
2020062722	7.18483099473
2020062723	16.0888694599
2020062800	7.72546074118
2020062801	10.6554751805
2020062802	10.0767775199
2020062803	7.98844274012
2020062804	8.07503898379
2020062805	7.45762008106
2020062806	15.4374847386
2020062807	90.0333153405
2020062808	129.788155444
2020062809	129.788155444
2020062810	129.788155444
2020062811	129.788155444
2020062812	129.788155444
2020062813	129.788155444
2020062814	129.788155444
2020062815	129.788155444
2020062816	129.788155444
2020062817	129.788155444
2020062818	129.788155444
2020062819	37.5731365465
2020062820	17.98
2020062821	17.98
2020062822	17.98
2020062823	33.3836476719
