timepoint	regulating_reserve_requirement_mw
2020062200	43.72
2020062201	43.72
2020062202	43.72
2020062203	43.72
2020062204	43.72
2020062205	43.72
2020062206	107.436335149
2020062207	147.245356436
2020062208	192.050284333
2020062209	192.050284333
2020062210	192.050284333
2020062211	192.050284333
2020062212	192.050284333
2020062213	192.050284333
2020062214	192.050284333
2020062215	192.050284333
2020062216	192.050284333
2020062217	192.050284333
2020062218	187.896297369
2020062219	111.611204105
2020062220	43.72
2020062221	43.72
2020062222	43.72
2020062223	115.611860915
2020062300	43.72
2020062301	43.72
2020062302	43.72
2020062303	43.72
2020062304	43.72
2020062305	43.72
2020062306	98.5332855595
2020062307	156.931387271
2020062308	192.050284333
2020062309	192.050284333
2020062310	192.050284333
2020062311	192.050284333
2020062312	192.050284333
2020062313	192.050284333
2020062314	192.050284333
2020062315	192.050284333
2020062316	192.050284333
2020062317	192.050284333
2020062318	192.050284333
2020062319	111.025633752
2020062320	43.72
2020062321	43.72
2020062322	43.72
2020062323	94.4791362998
2020062400	43.72
2020062401	43.72
2020062402	43.72
2020062403	43.72
2020062404	43.72
2020062405	43.72
2020062406	100.505487311
2020062407	187.382615658
2020062408	192.050284333
2020062409	192.050284333
2020062410	192.050284333
2020062411	192.050284333
2020062412	192.050284333
2020062413	192.050284333
2020062414	192.050284333
2020062415	192.050284333
2020062416	192.050284333
2020062417	192.050284333
2020062418	192.050284333
2020062419	103.713475763
2020062420	43.72
2020062421	43.72
2020062422	43.72
2020062423	112.193219636
2020062500	43.72
2020062501	43.72
2020062502	43.72
2020062503	43.72
2020062504	43.72
2020062505	43.72
2020062506	101.154922331
2020062507	145.01615653
2020062508	192.050284333
2020062509	192.050284333
2020062510	192.050284333
2020062511	192.050284333
2020062512	192.050284333
2020062513	192.050284333
2020062514	192.050284333
2020062515	192.050284333
2020062516	192.050284333
2020062517	192.050284333
2020062518	174.351401283
2020062519	88.8379712433
2020062520	43.72
2020062521	43.72
2020062522	43.72
2020062523	103.713475763
2020062600	43.72
2020062601	43.72
2020062602	40.8
2020062603	33.4106926449
2020062604	30.3370863284
2020062605	28.5670067696
2020062606	39.607389153
2020062607	137.545778992
2020062608	192.050284333
2020062609	192.050284333
2020062610	192.050284333
2020062611	192.050284333
2020062612	192.050284333
2020062613	192.050284333
2020062614	192.050284333
2020062615	192.050284333
2020062616	192.050284333
2020062617	192.050284333
2020062618	192.050284333
2020062619	55.1916602775
2020062620	43.72
2020062621	43.72
2020062622	43.72
2020062623	69.3292176359
2020062700	43.72
2020062701	43.72
2020062702	32.4667402093
2020062703	25.711158323
2020062704	30.7031792817
2020062705	43.72
2020062706	57.9484220399
2020062707	94.4791362998
2020062708	192.050284333
2020062709	192.050284333
2020062710	192.050284333
2020062711	192.050284333
2020062712	192.050284333
2020062713	192.050284333
2020062714	192.050284333
2020062715	192.050284333
2020062716	192.050284333
2020062717	192.050284333
2020062718	133.376258896
2020062719	21.3614677759
2020062720	12.4321443445
2020062721	13.4078679473
2020062722	13.9836472015
2020062723	32.2970502587
2020062800	15.113899135
2020062801	21.4943346685
2020062802	20.1966496824
2020062803	15.6685473859
2020062804	15.8518992666
2020062805	14.5522948198
2020062806	28.3593381628
2020062807	129.100453716
2020062808	192.050284333
2020062809	192.050284333
2020062810	192.050284333
2020062811	192.050284333
2020062812	192.050284333
2020062813	192.050284333
2020062814	192.050284333
2020062815	192.050284333
2020062816	192.050284333
2020062817	192.050284333
2020062818	192.050284333
2020062819	68.4853982219
2020062820	43.72
2020062821	43.72
2020062822	43.72
2020062823	69.3292176359
