timepoint	regulating_reserve_requirement_mw
2020062200	17.98
2020062201	17.98
2020062202	17.98
2020062203	17.98
2020062204	17.98
2020062205	17.98
2020062206	51.0825401021
2020062207	65.6136721583
2020062208	102.46876675
2020062209	102.46876675
2020062210	102.46876675
2020062211	102.46876675
2020062212	102.46876675
2020062213	102.46876675
2020062214	102.46876675
2020062215	102.46876675
2020062216	102.46876675
2020062217	102.46876675
2020062218	102.46876675
2020062219	53.0947772606
2020062220	17.98
2020062221	17.98
2020062222	17.98
2020062223	55.8594871787
2020062300	17.98
2020062301	17.98
2020062302	17.98
2020062303	17.98
2020062304	17.98
2020062305	17.98
2020062306	45.9752840434
2020062307	67.7540489479
2020062308	102.46876675
2020062309	102.46876675
2020062310	102.46876675
2020062311	102.46876675
2020062312	102.46876675
2020062313	102.46876675
2020062314	102.46876675
2020062315	102.46876675
2020062316	102.46876675
2020062317	102.46876675
2020062318	102.46876675
2020062319	53.0947772606
2020062320	17.98
2020062321	17.98
2020062322	17.98
2020062323	43.9687746552
2020062400	17.98
2020062401	17.98
2020062402	17.98
2020062403	17.98
2020062404	17.98
2020062405	17.98
2020062406	47.3436852037
2020062407	89.1116541756
2020062408	102.46876675
2020062409	102.46876675
2020062410	102.46876675
2020062411	102.46876675
2020062412	102.46876675
2020062413	102.46876675
2020062414	102.46876675
2020062415	102.46876675
2020062416	102.46876675
2020062417	102.46876675
2020062418	102.46876675
2020062419	48.35503416
2020062420	17.98
2020062421	17.98
2020062422	17.98
2020062423	53.8908895441
2020062500	17.98
2020062501	17.98
2020062502	17.98
2020062503	17.98
2020062504	17.98
2020062505	17.98
2020062506	47.3436852037
2020062507	72.2558153249
2020062508	102.46876675
2020062509	102.46876675
2020062510	102.46876675
2020062511	102.46876675
2020062512	102.46876675
2020062513	102.46876675
2020062514	102.46876675
2020062515	102.46876675
2020062516	102.46876675
2020062517	102.46876675
2020062518	81.6614969813
2020062519	42.2503611986
2020062520	17.98
2020062521	17.98
2020062522	17.98
2020062523	48.35503416
2020062600	17.98
2020062601	17.98
2020062602	17.98
2020062603	16.1984910276
2020062604	14.7692628898
2020062605	13.9286186081
2020062606	19.7818262863
2020062607	73.6044979159
2020062608	102.46876675
2020062609	102.46876675
2020062610	102.46876675
2020062611	102.46876675
2020062612	102.46876675
2020062613	102.46876675
2020062614	102.46876675
2020062615	102.46876675
2020062616	102.46876675
2020062617	102.46876675
2020062618	102.46876675
2020062619	27.274858905
2020062620	17.98
2020062621	17.98
2020062622	17.98
2020062623	32.592493659
2020062700	17.98
2020062701	17.98
2020062702	15.7761500283
2020062703	12.5656000805
2020062704	14.9427091676
2020062705	17.98
2020062706	27.6962176482
2020062707	38.6827202238
2020062708	102.46876675
2020062709	102.46876675
2020062710	102.46876675
2020062711	102.46876675
2020062712	102.46876675
2020062713	102.46876675
2020062714	102.46876675
2020062715	102.46876675
2020062716	102.46876675
2020062717	95.2021924088
2020062718	64.1642429845
2020062719	10.1163439064
2020062720	6.50004762788
2020062721	6.97538467302
2020062722	7.25340118557
2020062723	16.5076400494
2020062800	7.79373985021
2020062801	10.7057399696
2020062802	10.1329567453
2020062803	8.0562595048
2020062804	8.14265665324
2020062805	7.5261530129
2020062806	15.0691660607
2020062807	60.4602161402
2020062808	102.46876675
2020062809	102.46876675
2020062810	102.46876675
2020062811	102.46876675
2020062812	102.46876675
2020062813	102.46876675
2020062814	102.46876675
2020062815	102.46876675
2020062816	102.46876675
2020062817	102.46876675
2020062818	102.46876675
2020062819	32.1955324365
2020062820	17.98
2020062821	17.98
2020062822	17.98
2020062823	32.592493659
