timepoint	regulating_reserve_requirement_mw
2020062200	43.72
2020062201	43.72
2020062202	43.72
2020062203	43.72
2020062204	43.72
2020062205	43.72
2020062206	96.0532770981
2020062207	120.108677697
2020062208	136.344290164
2020062209	136.344290164
2020062210	136.344290164
2020062211	136.344290164
2020062212	136.344290164
2020062213	136.344290164
2020062214	136.344290164
2020062215	136.344290164
2020062216	136.344290164
2020062217	136.344290164
2020062218	136.344290164
2020062219	98.0466534729
2020062220	43.72
2020062221	43.72
2020062222	43.72
2020062223	103.435299409
2020062300	43.72
2020062301	43.72
2020062302	43.72
2020062303	43.72
2020062304	43.72
2020062305	43.72
2020062306	88.3558240125
2020062307	122.806004282
2020062308	136.344290164
2020062309	136.344290164
2020062310	136.344290164
2020062311	136.344290164
2020062312	136.344290164
2020062313	136.344290164
2020062314	136.344290164
2020062315	136.344290164
2020062316	136.344290164
2020062317	136.344290164
2020062318	136.344290164
2020062319	97.6527939682
2020062320	43.72
2020062321	43.72
2020062322	43.72
2020062323	85.5977447266
2020062400	43.72
2020062401	43.72
2020062402	43.72
2020062403	43.72
2020062404	43.72
2020062405	43.72
2020062406	90.1396279677
2020062407	136.344290164
2020062408	136.344290164
2020062409	136.344290164
2020062410	136.344290164
2020062411	136.344290164
2020062412	136.344290164
2020062413	136.344290164
2020062414	136.344290164
2020062415	136.344290164
2020062416	136.344290164
2020062417	136.344290164
2020062418	136.344290164
2020062419	91.4493983912
2020062420	43.72
2020062421	43.72
2020062422	43.72
2020062423	100.885255226
2020062500	43.72
2020062501	43.72
2020062502	43.72
2020062503	43.72
2020062504	43.72
2020062505	43.72
2020062506	91.0154504872
2020062507	115.894785867
2020062508	136.344290164
2020062509	136.344290164
2020062510	136.344290164
2020062511	136.344290164
2020062512	136.344290164
2020062513	136.344290164
2020062514	136.344290164
2020062515	136.344290164
2020062516	136.344290164
2020062517	136.344290164
2020062518	129.110528391
2020062519	79.2666060113
2020062520	43.72
2020062521	43.72
2020062522	43.72
2020062523	93.580138537
2020062600	43.72
2020062601	43.72
2020062602	40.8
2020062603	33.4106926449
2020062604	29.4338323975
2020062605	27.9057779687
2020062606	36.6520544716
2020062607	105.506568307
2020062608	136.344290164
2020062609	136.344290164
2020062610	136.344290164
2020062611	136.344290164
2020062612	136.344290164
2020062613	136.344290164
2020062614	136.344290164
2020062615	136.344290164
2020062616	136.344290164
2020062617	136.344290164
2020062618	136.344290164
2020062619	48.3115250369
2020062620	43.72
2020062621	43.72
2020062622	43.72
2020062623	64.4108628982
2020062700	43.72
2020062701	43.72
2020062702	32.2260762616
2020062703	24.8792854826
2020062704	29.911741119
2020062705	43.72
2020062706	53.7308991972
2020062707	77.2161025687
2020062708	136.344290164
2020062709	136.344290164
2020062710	136.344290164
2020062711	136.344290164
2020062712	136.344290164
2020062713	136.344290164
2020062714	136.344290164
2020062715	136.344290164
2020062716	136.344290164
2020062717	136.344290164
2020062718	99.5984463079
2020062719	18.7407797002
2020062720	12.3957495156
2020062721	13.3330567661
2020062722	13.8835717702
2020062723	30.7327295328
2020062800	14.9585513067
2020062801	20.8794146257
2020062802	19.6962349846
2020062803	15.4832904993
2020062804	15.6563479152
2020062805	14.4253571412
2020062806	26.9146570037
2020062807	99.5984463079
2020062808	136.344290164
2020062809	136.344290164
2020062810	136.344290164
2020062811	136.344290164
2020062812	136.344290164
2020062813	136.344290164
2020062814	136.344290164
2020062815	136.344290164
2020062816	136.344290164
2020062817	136.344290164
2020062818	136.344290164
2020062819	60.7664002203
2020062820	43.72
2020062821	43.72
2020062822	43.72
2020062823	63.812614601
