timepoint	regulating_reserve_requirement_mw
2020062200	69.58
2020062201	69.58
2020062202	69.58
2020062203	69.58
2020062204	69.58
2020062205	69.58
2020062206	118.140719115
2020062207	118.140719115
2020062208	118.140719115
2020062209	118.140719115
2020062210	118.140719115
2020062211	118.140719115
2020062212	118.140719115
2020062213	118.140719115
2020062214	118.140719115
2020062215	118.140719115
2020062216	118.140719115
2020062217	118.140719115
2020062218	118.140719115
2020062219	118.140719115
2020062220	69.58
2020062221	69.58
2020062222	69.58
2020062223	118.140719115
2020062300	69.58
2020062301	69.58
2020062302	69.58
2020062303	69.58
2020062304	69.58
2020062305	69.58
2020062306	118.140719115
2020062307	118.140719115
2020062308	118.140719115
2020062309	118.140719115
2020062310	118.140719115
2020062311	118.140719115
2020062312	118.140719115
2020062313	118.140719115
2020062314	118.140719115
2020062315	118.140719115
2020062316	118.140719115
2020062317	118.140719115
2020062318	118.140719115
2020062319	118.140719115
2020062320	69.58
2020062321	69.58
2020062322	69.58
2020062323	118.140719115
2020062400	69.58
2020062401	69.58
2020062402	69.58
2020062403	69.58
2020062404	69.58
2020062405	69.58
2020062406	118.140719115
2020062407	118.140719115
2020062408	118.140719115
2020062409	118.140719115
2020062410	118.140719115
2020062411	118.140719115
2020062412	118.140719115
2020062413	118.140719115
2020062414	118.140719115
2020062415	118.140719115
2020062416	118.140719115
2020062417	118.140719115
2020062418	118.140719115
2020062419	118.140719115
2020062420	69.58
2020062421	69.58
2020062422	69.58
2020062423	118.140719115
2020062500	69.58
2020062501	69.58
2020062502	69.58
2020062503	69.58
2020062504	69.58
2020062505	69.58
2020062506	118.140719115
2020062507	118.140719115
2020062508	118.140719115
2020062509	118.140719115
2020062510	118.140719115
2020062511	118.140719115
2020062512	118.140719115
2020062513	118.140719115
2020062514	118.140719115
2020062515	118.140719115
2020062516	118.140719115
2020062517	118.140719115
2020062518	118.140719115
2020062519	113.441178817
2020062520	69.58
2020062521	69.58
2020062522	69.58
2020062523	118.140719115
2020062600	69.58
2020062601	69.58
2020062602	65.2
2020062603	54.1160389674
2020062604	48.1507485963
2020062605	44.7020909406
2020062606	50.8390145588
2020062607	112.414657356
2020062608	118.140719115
2020062609	118.140719115
2020062610	118.140719115
2020062611	118.140719115
2020062612	118.140719115
2020062613	118.140719115
2020062614	118.140719115
2020062615	118.140719115
2020062616	118.140719115
2020062617	118.140719115
2020062618	118.140719115
2020062619	63.533021532
2020062620	69.58
2020062621	69.58
2020062622	69.58
2020062623	92.7327308841
2020062700	69.58
2020062701	69.58
2020062702	52.3391143924
2020062703	39.1952797019
2020062704	48.8676116784
2020062705	69.58
2020062706	75.1885155042
2020062707	77.5084115838
2020062708	118.140719115
2020062709	118.140719115
2020062710	118.140719115
2020062711	118.140719115
2020062712	118.140719115
2020062713	118.140719115
2020062714	118.140719115
2020062715	118.140719115
2020062716	118.140719115
2020062717	118.140719115
2020062718	80.3845825476
2020062719	20.1406762394
2020062720	18.6203003574
2020062721	20.0281484531
2020062722	20.8550198035
2020062723	44.5944602344
2020062800	22.4696138277
2020062801	31.3620734092
2020062802	29.5851504472
2020062803	23.257749483
2020062804	23.5176727571
2020062805	21.6687722144
2020062806	38.2841100377
2020062807	96.0153026793
2020062808	118.140719115
2020062809	118.140719115
2020062810	118.140719115
2020062811	118.140719115
2020062812	118.140719115
2020062813	118.140719115
2020062814	118.140719115
2020062815	118.140719115
2020062816	118.140719115
2020062817	118.140719115
2020062818	118.140719115
2020062819	79.2372606159
2020062820	69.58
2020062821	69.58
2020062822	69.58
2020062823	92.7327308841
