timepoint	regulating_reserve_requirement_mw
2020062200	43.72
2020062201	43.72
2020062202	43.72
2020062203	43.72
2020062204	43.72
2020062205	43.72
2020062206	101.280635842
2020062207	136.211282222
2020062208	180.598460782
2020062209	180.598460782
2020062210	180.598460782
2020062211	180.598460782
2020062212	180.598460782
2020062213	180.598460782
2020062214	180.598460782
2020062215	180.598460782
2020062216	180.598460782
2020062217	180.598460782
2020062218	166.887717988
2020062219	103.813563938
2020062220	43.72
2020062221	43.72
2020062222	43.72
2020062223	109.944716597
2020062300	43.72
2020062301	43.72
2020062302	43.72
2020062303	43.72
2020062304	43.72
2020062305	43.72
2020062306	91.3538838418
2020062307	146.506111352
2020062308	180.598460782
2020062309	180.598460782
2020062310	180.598460782
2020062311	180.598460782
2020062312	180.598460782
2020062313	180.598460782
2020062314	180.598460782
2020062315	180.598460782
2020062316	180.598460782
2020062317	180.598460782
2020062318	180.598460782
2020062319	103.184715965
2020062320	43.72
2020062321	43.72
2020062322	43.72
2020062323	87.8890324395
2020062400	43.72
2020062401	43.72
2020062402	43.72
2020062403	43.72
2020062404	43.72
2020062405	43.72
2020062406	93.3946782937
2020062407	169.796922898
2020062408	180.598460782
2020062409	180.598460782
2020062410	180.598460782
2020062411	180.598460782
2020062412	180.598460782
2020062413	180.598460782
2020062414	180.598460782
2020062415	180.598460782
2020062416	180.598460782
2020062417	180.598460782
2020062418	177.921522195
2020062419	95.4073662871
2020062420	43.72
2020062421	43.72
2020062422	43.72
2020062423	106.914566612
2020062500	43.72
2020062501	43.72
2020062502	43.72
2020062503	43.72
2020062504	43.72
2020062505	43.72
2020062506	94.0686780052
2020062507	132.318697762
2020062508	180.598460782
2020062509	180.598460782
2020062510	180.598460782
2020062511	180.598460782
2020062512	180.598460782
2020062513	180.598460782
2020062514	180.598460782
2020062515	180.598460782
2020062516	180.598460782
2020062517	180.598460782
2020062518	150.223916551
2020062519	80.7143838727
2020062520	43.72
2020062521	43.72
2020062522	43.72
2020062523	98.0478973971
2020062600	43.72
2020062601	43.72
2020062602	40.8
2020062603	33.4106926449
2020062604	29.4338323975
2020062605	27.9057779687
2020062606	35.764024856
2020062607	119.183687351
2020062608	180.598460782
2020062609	180.598460782
2020062610	180.598460782
2020062611	180.598460782
2020062612	180.598460782
2020062613	180.598460782
2020062614	180.598460782
2020062615	180.598460782
2020062616	180.598460782
2020062617	180.598460782
2020062618	180.598460782
2020062619	48.5486729202
2020062620	43.72
2020062621	43.72
2020062622	43.72
2020062623	62.8979906428
2020062700	43.72
2020062701	43.72
2020062702	32.2260762616
2020062703	24.8792854826
2020062704	29.911741119
2020062705	43.72
2020062706	52.5814470384
2020062707	86.4805121892
2020062708	180.598460782
2020062709	180.598460782
2020062710	180.598460782
2020062711	180.598460782
2020062712	180.598460782
2020062713	180.598460782
2020062714	180.598460782
2020062715	180.598460782
2020062716	180.598460782
2020062717	180.598460782
2020062718	115.798896971
2020062719	19.2725428292
2020062720	12.3957495156
2020062721	13.3330567661
2020062722	13.8835717702
2020062723	31.0835129335
2020062800	14.9585513067
2020062801	20.8794146257
2020062802	19.6962349846
2020062803	15.4832904993
2020062804	15.6563479152
2020062805	14.4253571412
2020062806	27.0124122623
2020062807	115.225581575
2020062808	180.598460782
2020062809	180.598460782
2020062810	180.598460782
2020062811	180.598460782
2020062812	180.598460782
2020062813	180.598460782
2020062814	180.598460782
2020062815	180.598460782
2020062816	180.598460782
2020062817	180.598460782
2020062818	180.598460782
2020062819	59.6490967228
2020062820	43.72
2020062821	43.72
2020062822	43.72
2020062823	62.8979906428
