PROJECT	TIMEPOINT	proj_min_commit_fraction	proj_max_commit_fraction
AES	2020010905	1.0	1.0
AES	2020010906	1.0	1.0
AES	2020010907	1.0	1.0
AES	2020010908	1.0	1.0
AES	2020010909	1.0	1.0
AES	2020010910	1.0	1.0
AES	2020010911	1.0	1.0
AES	2020010912	1.0	1.0
AES	2020010913	1.0	1.0
AES	2020010914	1.0	1.0
AES	2020010915	1.0	1.0
AES	2020010916	1.0	1.0
AES	2020010917	1.0	1.0
AES	2020010918	1.0	1.0
AES	2020010919	1.0	1.0
AES	2020010920	1.0	1.0
AES	2020010921	1.0	1.0
AES	2020010922	1.0	1.0
AES	2020010923	1.0	1.0
AES	2020011000	1.0	1.0
AES	2020011001	1.0	1.0
AES	2020011002	1.0	1.0
AES	2020011003	1.0	1.0
AES	2020011004	1.0	1.0
AES	2020011005	1.0	1.0
AES	2020011006	1.0	1.0
AES	2020011007	1.0	1.0
AES	2020011008	1.0	1.0
AES	2020011009	1.0	1.0
AES	2020011010	1.0	1.0
AES	2020011011	1.0	1.0
AES	2020011012	1.0	1.0
AES	2020011013	1.0	1.0
AES	2020011014	1.0	1.0
AES	2020011015	1.0	1.0
AES	2020011016	1.0	1.0
AES	2020011017	1.0	1.0
AES	2020011018	1.0	1.0
AES	2020011019	1.0	1.0
AES	2020011020	1.0	1.0
AES	2020011021	1.0	1.0
AES	2020011022	1.0	1.0
AES	2020011023	1.0	1.0
AES	2020011100	1.0	1.0
AES	2020011101	1.0	1.0
AES	2020011102	1.0	1.0
AES	2020011103	1.0	1.0
AES	2020011104	1.0	1.0
AES	2020011105	1.0	1.0
AES	2020011106	1.0	1.0
AES	2020011107	1.0	1.0
AES	2020011108	1.0	1.0
AES	2020011109	1.0	1.0
AES	2020011110	1.0	1.0
AES	2020011111	1.0	1.0
AES	2020011112	1.0	1.0
AES	2020011113	1.0	1.0
AES	2020011114	1.0	1.0
AES	2020011115	1.0	1.0
AES	2020011116	1.0	1.0
AES	2020011117	1.0	1.0
AES	2020011118	1.0	1.0
AES	2020011119	1.0	1.0
AES	2020011120	1.0	1.0
AES	2020011121	1.0	1.0
AES	2020011122	1.0	1.0
AES	2020011123	1.0	1.0
AES	2020011200	1.0	1.0
AES	2020011201	1.0	1.0
AES	2020011202	1.0	1.0
AES	2020011203	1.0	1.0
AES	2020011204	1.0	1.0
AES	2020011205	1.0	1.0
AES	2020011206	1.0	1.0
AES	2020011207	1.0	1.0
AES	2020011208	1.0	1.0
AES	2020011209	1.0	1.0
AES	2020011210	1.0	1.0
AES	2020011211	1.0	1.0
AES	2020011212	1.0	1.0
AES	2020011213	1.0	1.0
AES	2020011214	1.0	1.0
AES	2020011215	1.0	1.0
AES	2020011216	1.0	1.0
AES	2020011217	1.0	1.0
AES	2020011218	1.0	1.0
AES	2020011219	1.0	1.0
AES	2020011220	1.0	1.0
AES	2020011221	1.0	1.0
AES	2020011222	1.0	1.0
AES	2020011223	1.0	1.0
AES	2020011300	1.0	1.0
AES	2020011301	1.0	1.0
AES	2020011302	1.0	1.0
AES	2020011303	1.0	1.0
AES	2020011304	1.0	1.0
AES	2020011305	1.0	1.0
AES	2020011306	1.0	1.0
AES	2020011307	1.0	1.0
AES	2020011308	1.0	1.0
AES	2020011309	1.0	1.0
AES	2020011310	1.0	1.0
AES	2020011311	1.0	1.0
AES	2020011312	1.0	1.0
AES	2020011313	1.0	1.0
AES	2020011314	1.0	1.0
AES	2020011315	1.0	1.0
AES	2020011316	1.0	1.0
AES	2020011317	1.0	1.0
AES	2020011318	1.0	1.0
AES	2020011319	1.0	1.0
AES	2020011320	1.0	1.0
AES	2020011321	1.0	1.0
AES	2020011322	1.0	1.0
AES	2020011323	1.0	1.0
AES	2020011400	1.0	1.0
AES	2020011401	1.0	1.0
AES	2020011402	1.0	1.0
AES	2020011403	1.0	1.0
AES	2020011404	1.0	1.0
AES	2020011405	1.0	1.0
AES	2020011406	1.0	1.0
AES	2020011407	1.0	1.0
AES	2020011408	1.0	1.0
AES	2020011409	1.0	1.0
AES	2020011410	1.0	1.0
AES	2020011411	1.0	1.0
AES	2020011412	1.0	1.0
AES	2020011413	1.0	1.0
AES	2020011414	1.0	1.0
AES	2020011415	1.0	1.0
AES	2020011416	1.0	1.0
AES	2020011417	1.0	1.0
AES	2020011418	1.0	1.0
AES	2020011419	1.0	1.0
AES	2020011420	1.0	1.0
AES	2020011421	1.0	1.0
AES	2020011422	1.0	1.0
AES	2020011423	1.0	1.0
AES	2020011500	1.0	1.0
AES	2020011501	1.0	1.0
AES	2020011502	1.0	1.0
AES	2020011503	1.0	1.0
AES	2020011504	1.0	1.0
AES	2020011505	1.0	1.0
AES	2020011506	1.0	1.0
AES	2020011507	1.0	1.0
AES	2020011508	1.0	1.0
AES	2020011509	1.0	1.0
AES	2020011510	1.0	1.0
AES	2020011511	1.0	1.0
AES	2020011512	1.0	1.0
AES	2020011513	1.0	1.0
AES	2020011514	1.0	1.0
AES	2020011515	1.0	1.0
AES	2020011516	1.0	1.0
AES	2020011517	1.0	1.0
AES	2020011518	1.0	1.0
AES	2020011519	1.0	1.0
AES	2020011520	1.0	1.0
AES	2020011521	1.0	1.0
AES	2020011522	1.0	1.0
AES	2020011523	1.0	1.0
AES	2020011600	1.0	1.0
AES	2020011601	1.0	1.0
AES	2020011602	1.0	1.0
AES	2020011603	1.0	1.0
AES	2020011604	1.0	1.0
AES	2020011605	1.0	1.0
AES	2020011606	1.0	1.0
AES	2020011607	1.0	1.0
AES	2020011608	1.0	1.0
AES	2020011609	1.0	1.0
AES	2020011610	1.0	1.0
AES	2020011611	1.0	1.0
AES	2020011612	1.0	1.0
AES	2020011613	1.0	1.0
AES	2020011614	1.0	1.0
AES	2020011615	1.0	1.0
AES	2020011616	1.0	1.0
AES	2020011617	1.0	1.0
AES	2020011618	1.0	1.0
AES	2020011619	1.0	1.0
AES	2020011620	1.0	1.0
AES	2020011621	1.0	1.0
AES	2020011622	1.0	1.0
AES	2020011623	1.0	1.0
AES	2020011700	1.0	1.0
AES	2020011701	1.0	1.0
AES	2020011702	1.0	1.0
AES	2020011703	1.0	1.0
AES	2020011704	1.0	1.0
AES	2020011705	1.0	1.0
AES	2020011706	1.0	1.0
AES	2020011707	1.0	1.0
AES	2020011708	1.0	1.0
AES	2020011709	1.0	1.0
AES	2020011710	1.0	1.0
AES	2020011711	1.0	1.0
AES	2020011712	1.0	1.0
AES	2020011713	1.0	1.0
AES	2020011714	1.0	1.0
AES	2020011715	1.0	1.0
AES	2020011716	1.0	1.0
AES	2020011717	1.0	1.0
AES	2020011718	1.0	1.0
AES	2020011719	1.0	1.0
AES	2020011720	1.0	1.0
AES	2020011721	1.0	1.0
AES	2020011722	1.0	1.0
AES	2020011723	1.0	1.0
AES	2020011800	1.0	1.0
AES	2020011801	1.0	1.0
AES	2020011802	1.0	1.0
AES	2020011803	1.0	1.0
AES	2020011804	1.0	1.0
AES	2020011805	1.0	1.0
AES	2020011806	1.0	1.0
AES	2020011807	1.0	1.0
AES	2020011808	1.0	1.0
AES	2020011809	1.0	1.0
AES	2020011810	1.0	1.0
AES	2020011811	1.0	1.0
AES	2020011812	1.0	1.0
AES	2020011813	1.0	1.0
AES	2020011814	1.0	1.0
AES	2020011815	1.0	1.0
AES	2020011816	1.0	1.0
AES	2020011817	1.0	1.0
AES	2020011818	1.0	1.0
AES	2020011819	1.0	1.0
AES	2020011820	1.0	1.0
AES	2020011821	1.0	1.0
AES	2020011822	1.0	1.0
AES	2020011823	1.0	1.0
AES	2020011900	1.0	1.0
AES	2020011901	1.0	1.0
AES	2020011902	1.0	1.0
AES	2020011903	1.0	1.0
AES	2020011904	1.0	1.0
AES	2020011905	1.0	1.0
AES	2020011906	1.0	1.0
AES	2020011907	1.0	1.0
AES	2020011908	1.0	1.0
AES	2020011909	1.0	1.0
AES	2020011910	1.0	1.0
AES	2020011911	1.0	1.0
AES	2020011912	1.0	1.0
