LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2020010100	651.7035961151123
Oahu	2020010101	622.5792765617371
Oahu	2020010102	607.4345707893372
Oahu	2020010103	616.754412651062
Oahu	2020010104	671.508252620697
Oahu	2020010105	797.3255515098572
Oahu	2020010106	948.7724900245667
Oahu	2020010107	977.8968095779419
Oahu	2020010108	1043.1355237960815
Oahu	2020010109	1088.5694026947021
Oahu	2020010110	1127.013921737671
Oahu	2020010111	1143.323540687561
Oahu	2020010112	1150.3132581710815
Oahu	2020010113	1154.9732685089111
Oahu	2020010114	1154.9732685089111
Oahu	2020010115	1147.9833126068115
Oahu	2020010116	1131.6736936569214
Oahu	2020010117	1165.457844734192
Oahu	2020010118	1224.8716354370117
Oahu	2020010119	1130.5086612701416
Oahu	2020010120	1045.4654693603516
Oahu	2020010121	923.1430292129517
Oahu	2020010122	784.5109105110168
Oahu	2020010123	683.1580400466919
Oahu	2020010200	621.414303779602
Oahu	2020010201	591.1248922348022
Oahu	2020010202	581.8051099777222
Oahu	2020010203	588.7950658798218
Oahu	2020010204	638.8888955116272
Oahu	2020010205	762.3763680458069
Oahu	2020010206	897.5135684013367
Oahu	2020010207	919.6479916572571
Oahu	2020010208	1002.3612976074219
Oahu	2020010209	1053.6203384399414
Oahu	2020010210	1078.0847072601318
Oahu	2020010211	1099.054217338562
Oahu	2020010212	1115.3639554977417
Oahu	2020010213	1116.5289878845215
Oahu	2020010214	1127.013921737671
Oahu	2020010215	1110.7040643692017
Oahu	2020010216	1083.909511566162
Oahu	2020010217	1104.8792600631714
Oahu	2020010218	1138.663411140442
Oahu	2020010219	1072.2599029541016
Oahu	2020010220	984.886646270752
Oahu	2020010221	875.3789663314819
Oahu	2020010222	749.5616674423218
Oahu	2020010223	655.1986336708069
Oahu	2020010300	599.2797017097473
Oahu	2020010301	567.8253173828125
Oahu	2020010302	551.5157580375671
Oahu	2020010303	557.3406219482422
Oahu	2020010304	606.2695980072021
Oahu	2020010305	718.1072235107422
Oahu	2020010306	847.4195599555969
Oahu	2020010307	876.543939113617
Oahu	2020010308	966.2470817565918
Oahu	2020010309	1022.1658945083618
Oahu	2020010310	1057.115077972412
Oahu	2020010311	1080.4146528244019
Oahu	2020010312	1089.7345542907715
Oahu	2020010313	1088.5694026947021
Oahu	2020010314	1085.0746631622314
Oahu	2020010315	1082.7445983886719
Oahu	2020010316	1075.7548809051514
Oahu	2020010317	1080.4146528244019
Oahu	2020010318	1122.3539113998413
Oahu	2020010319	1029.1557312011719
Oahu	2020010320	952.2672891616821
Oahu	2020010321	867.2240972518921
Oahu	2020010322	762.3763680458069
Oahu	2020010323	668.0133938789368
Oahu	2020010400	607.4345707893372
Oahu	2020010401	572.4853277206421
Oahu	2020010402	552.6807308197021
Oahu	2020010403	548.0207800865173
Oahu	2020010404	566.6603446006775
Oahu	2020010405	609.764575958252
Oahu	2020010406	680.8280348777771
Oahu	2020010407	763.5413408279419
Oahu	2020010408	862.564206123352
Oahu	2020010409	940.6176209449768
Oahu	2020010410	973.2369184494019
Oahu	2020010411	984.886646270752
Oahu	2020010412	991.8766021728516
Oahu	2020010413	976.7318964004517
Oahu	2020010414	966.2470817565918
Oahu	2020010415	980.2268147468567
Oahu	2020010416	991.8766021728516
Oahu	2020010417	1027.9908180236816
Oahu	2020010418	1082.7445983886719
Oahu	2020010419	1001.1962652206421
Oahu	2020010420	934.7927570343018
Oahu	2020010421	864.8941516876221
Oahu	2020010422	771.6960310935974
Oahu	2020010423	680.8280348777771
Oahu	2020010500	619.0842390060425
Oahu	2020010501	585.2999687194824
Oahu	2020010502	566.6603446006775
Oahu	2020010503	562.000572681427
Oahu	2020010504	574.8152136802673
Oahu	2020010505	605.1046252250671
Oahu	2020010506	645.878791809082
Oahu	2020010507	711.1173868179321
Oahu	2020010508	804.315447807312
Oahu	2020010509	871.8841075897217
Oahu	2020010510	921.9781756401062
Oahu	2020010511	937.1228218078613
Oahu	2020010512	933.6277842521667
Oahu	2020010513	928.9678931236267
Oahu	2020010514	927.8028607368469
Oahu	2020010515	942.9475665092468
Oahu	2020010516	968.5770273208618
Oahu	2020010517	1034.9806547164917
Oahu	2020010518	1101.3842821121216
Oahu	2020010519	1041.9704914093018
Oahu	2020010520	973.2369184494019
Oahu	2020010521	888.1937265396118
Oahu	2020010522	777.521014213562
Oahu	2020010523	680.8280348777771
Oahu	2020010600	624.9091625213623
Oahu	2020010601	591.1248922348022
Oahu	2020010602	578.3102512359619
Oahu	2020010603	586.4650011062622
Oahu	2020010604	644.7138786315918
Oahu	2020010605	754.2215585708618
Oahu	2020010606	883.5338354110718
Oahu	2020010607	965.082049369812
Oahu	2020010608	1059.4450235366821
Oahu	2020010609	1131.6736936569214
Oahu	2020010610	1161.9629859924316
Oahu	2020010611	1177.1076917648315
Oahu	2020010612	1177.1076917648315
Oahu	2020010613	1167.787790298462
Oahu	2020010614	1151.4782905578613
Oahu	2020010615	1134.0036392211914
Oahu	2020010616	1128.1787157058716
Oahu	2020010617	1165.457844734192
Oahu	2020010618	1228.3666133880615
Oahu	2020010619	1138.663411140442
Oahu	2020010620	1053.6203384399414
Oahu	2020010621	947.6073980331421
Oahu	2020010622	813.6351704597473
Oahu	2020010623	707.6224684715271
Oahu	2020010700	648.2086777687073
Oahu	2020010701	616.754412651062
Oahu	2020010702	603.9397120475769
Oahu	2020010703	609.764575958252
Oahu	2020010704	664.5183563232422
Oahu	2020010705	794.9957251548767
Oahu	2020010706	941.7826533317566
Oahu	2020010707	986.0515594482422
Oahu	2020010708	1053.6203384399414
Oahu	2020010709	1101.3842821121216
Oahu	2020010710	1122.3539113998413
Oahu	2020010711	1136.3335847854614
Oahu	2020010712	1131.6736936569214
Oahu	2020010713	1114.198923110962
Oahu	2020010714	1104.8792600631714
Oahu	2020010715	1096.7243909835815
Oahu	2020010716	1095.5593585968018
Oahu	2020010717	1150.3132581710815
Oahu	2020010718	1216.7167663574219
Oahu	2020010719	1137.498378753662
Oahu	2020010720	1052.4553060531616
Oahu	2020010721	942.9475665092468
Oahu	2020010722	812.4702572822571
Oahu	2020010723	706.4574360847473
Oahu	2020010800	651.7035961151123
Oahu	2020010801	622.5792765617371
Oahu	2020010802	607.4345707893372
Oahu	2020010803	616.754412651062
Oahu	2020010804	671.508252620697
Oahu	2020010805	797.3255515098572
