LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2007021500	669.570007324
Oahu	2007021501	635.760009766
Oahu	2007021502	624.08001709
Oahu	2007021503	632.950012207
Oahu	2007021504	689.309997559
Oahu	2007021505	815.979980469
Oahu	2007021506	935.83001709
Oahu	2007021507	954.880004883
Oahu	2007021508	1005.54998779
Oahu	2007021509	1046.19995117
Oahu	2007021510	1063.79003906
Oahu	2007021511	1078.68005371
Oahu	2007021512	1079.44995117
Oahu	2007021513	1075.27001953
Oahu	2007021514	1067.52001953
Oahu	2007021515	1060.9699707
Oahu	2007021516	1038.38000488
Oahu	2007021517	1046.08996582
Oahu	2007021518	1116.32995605
Oahu	2007021519	1087.85998535
Oahu	2007021520	1023.88000488
Oahu	2007021521	939.650024414
Oahu	2007021522	830.469970703
Oahu	2007021523	730.559997559
Oahu	2007031500	676.200012207
Oahu	2007031501	645.780029297
Oahu	2007031502	635.219970703
Oahu	2007031503	642.280029297
Oahu	2007031504	701.340026855
Oahu	2007031505	829.659973145
Oahu	2007031506	947.030029297
Oahu	2007031507	977.789978027
Oahu	2007031508	1037.08996582
Oahu	2007031509	1077.40002441
Oahu	2007031510	1099.35998535
Oahu	2007031511	1102.4699707
Oahu	2007031512	1115.94995117
Oahu	2007031513	1110.79003906
Oahu	2007031514	1094.60998535
Oahu	2007031515	1098.30004883
Oahu	2007031516	1085.34997559
Oahu	2007031517	1088.57995605
Oahu	2007031518	1136.30004883
Oahu	2007031519	1109.43005371
Oahu	2007031520	1050.56994629
Oahu	2007031521	958.039978027
Oahu	2007031522	835.760009766
Oahu	2007031523	729.880004883
Oahu	2007041500	710.380004883
Oahu	2007041501	671.659973145
Oahu	2007041502	646.099975586
Oahu	2007041503	637.58001709
Oahu	2007041504	656.75
Oahu	2007041505	690.599975586
Oahu	2007041506	737.0
Oahu	2007041507	828.349975586
Oahu	2007041508	910.190002441
Oahu	2007041509	958.710021973
Oahu	2007041510	975.039978027
Oahu	2007041511	984.309997559
Oahu	2007041512	986.109985352
Oahu	2007041513	983.299987793
Oahu	2007041514	983.549987793
Oahu	2007041515	994.799987793
Oahu	2007041516	1010.60998535
Oahu	2007041517	1024.25
Oahu	2007041518	1069.47998047
Oahu	2007041519	1080.20996094
Oahu	2007041520	1023.15997314
Oahu	2007041521	940.190002441
Oahu	2007041522	833.91998291
Oahu	2007041523	734.049987793
Oahu	2007051500	688.190002441
Oahu	2007051501	656.75
Oahu	2007051502	645.380004883
Oahu	2007051503	651.08001709
Oahu	2007051504	705.890014648
Oahu	2007051505	823.039978027
Oahu	2007051506	941.020019531
Oahu	2007051507	1007.32000732
Oahu	2007051508	1069.82995605
Oahu	2007051509	1103.0300293
Oahu	2007051510	1121.83996582
Oahu	2007051511	1136.22998047
Oahu	2007051512	1139.85998535
Oahu	2007051513	1135.69995117
Oahu	2007051514	1132.44995117
Oahu	2007051515	1126.4699707
Oahu	2007051516	1110.61999512
Oahu	2007051517	1094.17004395
Oahu	2007051518	1099.05004883
Oahu	2007051519	1119.14001465
Oahu	2007051520	1055.70996094
Oahu	2007051521	964.520019531
Oahu	2007051522	843.450012207
Oahu	2007051523	739.159973145
Oahu	2007061500	723.840026855
Oahu	2007061501	686.760009766
Oahu	2007061502	671.609985352
Oahu	2007061503	679.280029297
Oahu	2007061504	730.070007324
Oahu	2007061505	827.770019531
Oahu	2007061506	941.91998291
Oahu	2007061507	1012.4699707
Oahu	2007061508	1082.22998047
Oahu	2007061509	1119.26000977
Oahu	2007061510	1146.83996582
Oahu	2007061511	1149.86999512
Oahu	2007061512	1166.60998535
Oahu	2007061513	1165.44995117
Oahu	2007061514	1165.39001465
Oahu	2007061515	1161.13000488
Oahu	2007061516	1133.14001465
Oahu	2007061517	1107.52001953
Oahu	2007061518	1079.31005859
Oahu	2007061519	1100.86999512
Oahu	2007061520	1055.76000977
Oahu	2007061521	990.66998291
Oahu	2007061522	903.309997559
Oahu	2007061523	816.559997559
Oahu	2007071500	752.08001709
Oahu	2007071501	710.799987793
Oahu	2007071502	690.960021973
Oahu	2007071503	681.770019531
Oahu	2007071504	695.159973145
Oahu	2007071505	720.710021973
Oahu	2007071506	771.320007324
Oahu	2007071507	858.159973145
Oahu	2007071508	937.929992676
Oahu	2007071509	987.41998291
Oahu	2007071510	1007.27001953
Oahu	2007071511	1018.86999512
Oahu	2007071512	1017.08001709
Oahu	2007071513	1016.65997314
Oahu	2007071514	1019.11999512
Oahu	2007071515	1030.77001953
Oahu	2007071516	1045.72998047
Oahu	2007071517	1052.58996582
Oahu	2007071518	1055.54003906
Oahu	2007071519	1099.20996094
Oahu	2007071520	1060.27001953
Oahu	2007071521	992.859985352
Oahu	2007071522	888.770019531
Oahu	2007071523	792.070007324
Oahu	2007081500	758.609985352
Oahu	2007081501	723.549987793
Oahu	2007081502	708.280029297
Oahu	2007081503	711.320007324
Oahu	2007081504	766.909973145
Oahu	2007081505	888.270019531
Oahu	2007081506	1003.83001709
Oahu	2007081507	1053.11999512
Oahu	2007081508	1111.59997559
Oahu	2007081509	1143.02001953
Oahu	2007081510	1168.97998047
Oahu	2007081511	1170.41003418
Oahu	2007081512	1169.34997559
Oahu	2007081513	1166.35998535
Oahu	2007081514	1172.45996094
Oahu	2007081515	1164.43005371
Oahu	2007081516	1158.88000488
Oahu	2007081517	1147.5300293
Oahu	2007081518	1136.65002441
Oahu	2007081519	1162.68994141
Oahu	2007081520	1106.47998047
Oahu	2007081521	1013.84997559
Oahu	2007081522	900.840026855
Oahu	2007081523	805.150024414
Oahu	2007091500	792.179992676
Oahu	2007091501	750.479980469
Oahu	2007091502	726.549987793
Oahu	2007091503	719.25
Oahu	2007091504	739.020019531
Oahu	2007091505	790.359985352
Oahu	2007091506	861.33001709
Oahu	2007091507	979.059997559
Oahu	2007091508	1056.06994629
Oahu	2007091509	1106.02001953
Oahu	2007091510	1129.36999512
Oahu	2007091511	1127.30004883
Oahu	2007091512	1125.92004395
Oahu	2007091513	1119.94995117
Oahu	2007091514	1093.47998047
Oahu	2007091515	1088.43005371
Oahu	2007091516	1080.43994141
Oahu	2007091517	1078.58996582
Oahu	2007091518	1122.13000488
Oahu	2007091519	1101.77001953
Oahu	2007091520	1060.52001953
Oahu	2007091521	1002.4699707
Oahu	2007091522	917.349975586
Oahu	2007091523	826.909973145
Oahu	2007101500	728.75
Oahu	2007101501	695.739990234
Oahu	2007101502	681.070007324
Oahu	2007101503	692.119995117
Oahu	2007101504	753.679992676
Oahu	2007101505	874.549987793
Oahu	2007101506	987.549987793
Oahu	2007101507	1054.04003906
Oahu	2007101508	1116.83996582
Oahu	2007101509	1159.31994629
Oahu	2007101510	1178.90002441
Oahu	2007101511	1181.38000488
Oahu	2007101512	1187.7199707
Oahu	2007101513	1189.45996094
Oahu	2007101514	1183.44995117
Oahu	2007101515	1178.42004395
Oahu	2007101516	1165.9699707
Oahu	2007101517	1168.05004883
Oahu	2007101518	1221.80004883
Oahu	2007101519	1174.7800293
Oahu	2007101520	1104.85998535
Oahu	2007101521	995.729980469
Oahu	2007101522	888.950012207
Oahu	2007101523	787.969970703
Oahu	2007111500	717.5
Oahu	2007111501	683.299987793
Oahu	2007111502	672.049987793
Oahu	2007111503	676.090026855
Oahu	2007111504	730.609985352
Oahu	2007111505	855.260009766
Oahu	2007111506	964.159973145
Oahu	2007111507	1014.65997314
Oahu	2007111508	1075.2800293
Oahu	2007111509	1117.57995605
Oahu	2007111510	1133.95996094
Oahu	2007111511	1133.43005371
Oahu	2007111512	1148.09997559
Oahu	2007111513	1155.89001465
Oahu	2007111514	1158.36999512
Oahu	2007111515	1151.65002441
Oahu	2007111516	1132.11999512
Oahu	2007111517	1159.42004395
Oahu	2007111518	1185.44995117
Oahu	2007111519	1127.45996094
Oahu	2007111520	1062.5300293
Oahu	2007111521	981.539978027
Oahu	2007111522	866.91998291
Oahu	2007111523	776.130004883
Oahu	2007121500	719.150024414
Oahu	2007121501	679.0
Oahu	2007121502	654.229980469
Oahu	2007121503	653.219970703
Oahu	2007121504	678.590026855
Oahu	2007121505	730.619995117
Oahu	2007121506	805.729980469
Oahu	2007121507	896.16998291
Oahu	2007121508	976.400024414
Oahu	2007121509	1017.66998291
Oahu	2007121510	1026.80004883
Oahu	2007121511	1028.06005859
Oahu	2007121512	1015.04998779
Oahu	2007121513	992.989990234
Oahu	2007121514	984.109985352
Oahu	2007121515	990.630004883
Oahu	2007121516	998.5
Oahu	2007121517	1043.5300293
Oahu	2007121518	1062.43005371
Oahu	2007121519	1017.19000244
Oahu	2007121520	983.070007324
Oahu	2007121521	931.840026855
Oahu	2007121522	852.729980469
Oahu	2007121523	762.239990234
Oahu	2007011500	678.570007324
Oahu	2007011501	644.299987793
Oahu	2007011502	626.520019531
Oahu	2007011503	625.460021973
Oahu	2007011504	664.429992676
Oahu	2007011505	737.039978027
Oahu	2007011506	814.640014648
Oahu	2007011507	874.359985352
Oahu	2007011508	963.429992676
Oahu	2007011509	1025.75
Oahu	2007011510	1049.92004395
Oahu	2007011511	1057.91003418
Oahu	2007011512	1058.16003418
Oahu	2007011513	1052.43994141
Oahu	2007011514	1042.5
Oahu	2007011515	1049.2199707
Oahu	2007011516	1053.89001465
Oahu	2007011517	1079.33996582
Oahu	2007011518	1137.43994141
Oahu	2007011519	1082.77001953
Oahu	2007011520	1018.65997314
Oahu	2007011521	932.460021973
Oahu	2007011522	826.5
Oahu	2007011523	729.91998291
