LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2007011500	472.750712555
Oahu	2007011501	426.528021631
Oahu	2007011502	402.546769537
Oahu	2007011503	401.117066835
Oahu	2007011504	453.678954333
Oahu	2007011505	551.613795249
Oahu	2007011506	656.279113727
Oahu	2007011507	736.828170471
Oahu	2007011508	856.963947327
Oahu	2007011509	941.019879491
Oahu	2007011510	973.619933013
Oahu	2007011511	984.396665975
Oahu	2007011512	984.733860785
Oahu	2007011513	977.018718397
Oahu	2007011514	963.611931774
Oahu	2007011515	972.675688757
Oahu	2007011516	978.974547084
Oahu	2007011517	1013.3009129
Oahu	2007011518	1091.66495386
Oahu	2007011519	1017.92729814
Oahu	2007011520	931.456998451
Oahu	2007011521	815.192293755
Oahu	2007011522	672.275615765
Oahu	2007011523	542.01049364
Oahu	2007021500	460.611699388
Oahu	2007021501	415.009476551
Oahu	2007021502	399.255744897
Oahu	2007021503	411.219410177
Oahu	2007021504	487.23658843
Oahu	2007021505	658.086431809
Oahu	2007021506	819.73767321
Oahu	2007021507	845.431901282
Oahu	2007021508	913.774522362
Oahu	2007021509	968.602349106
Oahu	2007021510	992.327494497
Oahu	2007021511	1012.41083715
Oahu	2007021512	1013.44925886
Oahu	2007021513	1007.81145384
Oahu	2007021514	997.358414721
Oahu	2007021515	988.523844836
Oahu	2007021516	958.054967888
Oahu	2007021517	968.454003147
Oahu	2007021518	1063.19224385
Oahu	2007021519	1024.79253838
Oahu	2007021520	938.497668896
Oahu	2007021521	824.890019789
Oahu	2007021522	677.630229836
Oahu	2007021523	542.873732112
Oahu	2007031500	469.554112341
Oahu	2007031501	428.524270886
Oahu	2007031502	414.281083074
Oahu	2007031503	423.803543544
Oahu	2007031504	503.462442211
Oahu	2007031505	676.537721944
Oahu	2007031506	834.844017172
Oahu	2007031507	876.332397467
Oahu	2007031508	956.31498998
Oahu	2007031509	1010.68436021
Oahu	2007031510	1040.30349965
Oahu	2007031511	1044.49818333
Oahu	2007031512	1062.67970115
Oahu	2007031513	1055.72011881
Oahu	2007031514	1033.89679825
Oahu	2007031515	1038.87387927
Oahu	2007031516	1021.40708931
Oahu	2007031517	1025.76361992
Oahu	2007031518	1090.12749042
Oahu	2007031519	1053.8857988
Oahu	2007031520	974.496507803
Oahu	2007031521	849.694007461
Oahu	2007031522	684.765324707
Oahu	2007031523	541.956572107
Oahu	2007041500	515.655376912
Oahu	2007041501	463.430601901
Oahu	2007041502	428.955807799
Oahu	2007041503	417.464264647
Oahu	2007041504	443.320339643
Oahu	2007041505	488.976484014
Oahu	2007041506	551.559873715
Oahu	2007041507	674.770824432
Oahu	2007041508	785.154953719
Oahu	2007041509	850.597748825
Oahu	2007041510	872.623254554
Oahu	2007041511	885.12646446
Oahu	2007041512	887.554250629
Oahu	2007041513	883.764184255
Oahu	2007041514	884.101379065
Oahu	2007041515	899.275145524
Oahu	2007041516	920.599342028
Oahu	2007041517	938.99671063
Oahu	2007041518	1000.00196935
Oahu	2007041519	1014.47434426
Oahu	2007041520	937.526505035
Oahu	2007041521	825.618330942
Oahu	2007041522	682.283534681
Oahu	2007041523	547.580958491
Oahu	2007051500	485.725962266
