PROJECT	TIMEPOINT	proj_min_commit_fraction	proj_max_commit_fraction
AES	2020062200	1.0	1.0
AES	2020062201	1.0	1.0
AES	2020062202	1.0	1.0
AES	2020062203	1.0	1.0
AES	2020062204	1.0	1.0
AES	2020062205	1.0	1.0
AES	2020062206	1.0	1.0
AES	2020062207	1.0	1.0
AES	2020062208	1.0	1.0
AES	2020062209	1.0	1.0
AES	2020062210	1.0	1.0
AES	2020062211	1.0	1.0
AES	2020062212	1.0	1.0
AES	2020062213	1.0	1.0
AES	2020062214	1.0	1.0
AES	2020062215	1.0	1.0
AES	2020062216	1.0	1.0
AES	2020062217	1.0	1.0
AES	2020062218	1.0	1.0
AES	2020062219	1.0	1.0
AES	2020062220	1.0	1.0
AES	2020062221	1.0	1.0
AES	2020062222	1.0	1.0
AES	2020062223	1.0	1.0
AES	2020062300	1.0	1.0
AES	2020062301	1.0	1.0
AES	2020062302	1.0	1.0
AES	2020062303	1.0	1.0
AES	2020062304	1.0	1.0
AES	2020062305	1.0	1.0
AES	2020062306	1.0	1.0
AES	2020062307	1.0	1.0
AES	2020062308	1.0	1.0
AES	2020062309	1.0	1.0
AES	2020062310	1.0	1.0
AES	2020062311	1.0	1.0
AES	2020062312	1.0	1.0
AES	2020062313	1.0	1.0
AES	2020062314	1.0	1.0
AES	2020062315	1.0	1.0
AES	2020062316	1.0	1.0
AES	2020062317	1.0	1.0
AES	2020062318	1.0	1.0
AES	2020062319	1.0	1.0
AES	2020062320	1.0	1.0
AES	2020062321	1.0	1.0
AES	2020062322	1.0	1.0
AES	2020062323	1.0	1.0
AES	2020062400	1.0	1.0
AES	2020062401	1.0	1.0
AES	2020062402	1.0	1.0
AES	2020062403	1.0	1.0
AES	2020062404	1.0	1.0
AES	2020062405	1.0	1.0
AES	2020062406	1.0	1.0
AES	2020062407	1.0	1.0
AES	2020062408	1.0	1.0
AES	2020062409	1.0	1.0
AES	2020062410	1.0	1.0
AES	2020062411	1.0	1.0
AES	2020062412	1.0	1.0
AES	2020062413	1.0	1.0
AES	2020062414	1.0	1.0
AES	2020062415	1.0	1.0
AES	2020062416	1.0	1.0
AES	2020062417	1.0	1.0
AES	2020062418	1.0	1.0
AES	2020062419	1.0	1.0
AES	2020062420	1.0	1.0
AES	2020062421	1.0	1.0
AES	2020062422	1.0	1.0
AES	2020062423	1.0	1.0
AES	2020062500	1.0	1.0
AES	2020062501	1.0	1.0
AES	2020062502	1.0	1.0
AES	2020062503	1.0	1.0
AES	2020062504	1.0	1.0
