LOAD_ZONE	TIMEPOINT	renewable_forecast_mw	contingency_reserve_requirement_mw	regulating_reserve_requirement_mw
Oahu	2020062200	245.73	190.0	83.825
Oahu	2020062201	242.095	190.0	83.825
Oahu	2020062202	224.01	190.0	83.825
Oahu	2020062203	193.09	190.0	83.825
Oahu	2020062204	213.585	190.0	83.825
Oahu	2020062205	238.39	190.0	83.825
Oahu	2020062206	284.998010846	190.0	217.533445612
Oahu	2020062207	329.615233116	190.0	218.343735015
Oahu	2020062208	585.302538296	190.0	218.343735015
Oahu	2020062209	577.882291776	190.0	218.343735015
Oahu	2020062210	719.292154649	190.0	218.343735015
Oahu	2020062211	615.935689653	190.0	218.343735015
Oahu	2020062212	740.867467426	190.0	218.343735015
Oahu	2020062213	737.310419925	190.0	218.343735015
Oahu	2020062214	652.688826605	190.0	218.343735015
Oahu	2020062215	661.565047158	190.0	218.343735015
Oahu	2020062216	665.442361427	190.0	218.343735015
Oahu	2020062217	619.802362899	190.0	218.343735015
Oahu	2020062218	385.436163965	190.0	218.343735015
Oahu	2020062219	229.088108873	190.0	173.854148839
Oahu	2020062220	213.32	190.0	83.825
Oahu	2020062221	200.99	190.0	83.825
Oahu	2020062222	203.755	190.0	83.825
Oahu	2020062223	177.545	190.0	138.122469496
Oahu	2020062300	166.755	190.0	83.825
Oahu	2020062301	151.095	190.0	83.825
Oahu	2020062302	136.975	190.0	83.825
Oahu	2020062303	119.825	190.0	83.825
Oahu	2020062304	99.835	190.0	83.825
Oahu	2020062305	116.315	190.0	83.825
Oahu	2020062306	128.800113843	190.0	110.048737234
Oahu	2020062307	221.790453682	190.0	168.180294333
Oahu	2020062308	535.642913479	190.0	218.343735015
Oahu	2020062309	562.045768905	190.0	218.343735015
Oahu	2020062310	588.344289671	190.0	218.343735015
Oahu	2020062311	643.516227928	190.0	218.343735015
Oahu	2020062312	721.70753621	190.0	218.343735015
Oahu	2020062313	694.460929469	190.0	218.343735015
Oahu	2020062314	624.832193403	190.0	218.343735015
Oahu	2020062315	603.948179758	190.0	218.343735015
Oahu	2020062316	554.822091073	190.0	218.343735015
Oahu	2020062317	574.943799039	190.0	218.343735015
